folder	energy
1	-399.239436696900
2	-75.633248666320
3	-150.082969021100
4	-151.358391843800
5	-398.594210511800
6	-76.323217987260
7	-225.125986135400
8	-150.143161183800
9	-473.074690466600
10	NO FILE
11	-150.719402687400
12	NO_FILE
13	-225.776863299300
14	-474.341136482600
15	-473.717839784700
16	NO_FILE
17	-226.407491297400
18	-624.510249221000
19	-301.461983358900
20	-548.739721833400
21	-623.810049136100
22	-473.119131791300
23	-76.778711931170
24	-473.708728796700
25	-548.100336498600
26	-474.287929887700
27	-225.100962440500
28	-623.864530694200
29	-548.098583387300
30	-623.240779084600
31	-300.133344277800
32	-76.606555668800
33	-150.119869516400
34	-473.131958139800
35	-623.889787152500
36	-623.227172678000
37	-300.814677387900
38	-550.002437017600
39	-376.511624782300
40	-151.277214035000
41	-549.438055507600
42	-549.470013265800
43	-698.906413538500
44	-548.760341832800
45	-548.292239357800
46	-548.262493928100
47	-623.301472227200
48	-699.483961479000
49	-698.941530243500
50	-375.203780077400
51	NO_FILE
52	-624.597392444700
53	-923.991768217500
54	-225.088496398900
55	-623.941751024100
56	-623.227178812000
57	-548.793332385700
58	-698.938798960800
59	-451.565294695600
60	-624.436051885400
61	-699.563149439000
62	-623.248799103400
63	-773.973785483800
64	-548.868925897700
65	-773.523664007600
66	-699.001916951200
67	-699.639683628700
68	-699.634512551500
69	-225.195834085700
70	-623.416912645900
71	-624.476569001500
72	-774.021609706000
73	-548.193583803700
74	-698.332801784300
75	-698.245498267200
76	-450.881990537200
77	-225.801844592200
78	-773.947791335800
79	-548.158683560000
80	-774.608986975700
81	-548.118468166700
82	-698.385572314800
83	-623.348531556600
84	-623.253683835900
85	-624.432810856500
86	-623.266498293000
87	-75.870761036370
88	-698.249554006400
89	-699.548323724900
90	-849.736680182000
91	-624.047046941300
92	-474.290461229100
93	-150.710479734700
94	-623.820079121700
95	-623.149222832200
96	-773.334069136200
97	-698.242080795700
98	-398.643655489600
99	-698.983498156100
100	-549.328356389000
101	-548.853906021400
102	-549.134372949600
103	-549.297144205100
104	-699.721181057300
105	-300.240691415400
106	-548.848385629200
107	-549.382888576500
108	-773.989256250800
