Tabelle 1
Label	Energie (kcal/mol)
[H]([H])[O][O]{0,2} + [H][O][S][O]{0,1} => [H][O][S]([H])[O]{0,1} + [H][O][O]{0,2}	15.41
[H][O][O][S]{0,2} + [O][O]{0,3} => [H][O][O][S][O][O]{0,2}	5.63
[H][O][O][S]{0,2} + [O][O]{0,3} => [H][O][O]{0,2} + [O][O][S]{0,1}	5.07
[H][O][O][S]{0,2} => [H][O]{0,2} + [O][S]{0,1}	10.06
[H][O][O][O][S][H]{0,1} + [H][O]{0,2} => [H][O][O][O][S]{0,2} + [H][O][H]{0,1}	3.02
[H][O][O][O][H]{0,1} + [O][O]{0,1} => [O][O]{0,1} + [O][O]{0,1} + [H][O][H]{0,1}	54.35
[H][O][H]{0,1} + [H][O][H]{0,1} + [O][S]{0,1} => [H][O][H]{0,1} + [H][O][S][O][H]{0,1}	1.53
[H][O][O][S]([H])[O]{0,1} + [H][O]{0,2} => [H][O][O][S][O][H]{0,1} + [H][O]{0,2}	46.78
[H][O][O]{0,2} + [H][S][O]{0,2} + [O]{0,1} => [H][O][O]{0,2} + [H][S][O][O]{0,2}	5.00
[H][O]([O])[S]([O])[O][H]{0,1} => [H][O][O][S]([O])[O][H]{0,1}	25.57
[H][O][O][S][O][H]{0,1} => [H][O][O][S]([H])[O]{0,1}	37.12
[H][O][O][O]{0,2} + [H][O][S][H]{0,1} => [H][O][O]{0,2} + [H][O][S]([H])[O]{0,1}	36.98
[H][O][O][S]([O])[O][O]{0,2} => [H][O][O]{0,2} + [O][O][S][O]{0,1}	3.78
[O][O]{0,3} + [H][O]{0,2} + [H][O][S][O]{0,2} => [H][O][O][O]{0,2} + [H][O][S][O]{0,2}	4.49
[H][O][O][O][O]{0,2} => [H][O][O][O][O]{0,2}	8.75
[H][O][S][H]{0,1} + [O][O]{0,3} => [H][O]{0,2} + [H][S][O][O]{0,2}	8.10
O][O][O]{0,1} + [H][O][O][O]{0,2} => [H][O]{0,2} + [O][O]{0,3} + [O][O]{0,3}	13.19
[H][O][O][S]([O])[O][O]{0,2} => [H][O][O][S][O]{0,2} + [O][O]{0,1}	1.45
[H][O][O][S]{0,2} => [H]{0,2} + [O][O][S]{0,1}	0.00
H][O][S]([O])[O]{0,2} + [O][O]{0,1} => [H][O][S][O]{0,2} + [O][O][O]{0,1}	0.21
[H][O][O][O][H]{0,1} + [H][S][O]{0,2} => [H][O][S][H]{0,1}	14.63
[H][O][O][H]{0,1} => [H][O][O]{0,2} + [H]{0,2}	0.00
H][O][O][O][H]{0,1} + [H][O][S][O][H]{0,1} => [H][O][H]{0,1} + [H][O][O][O][H]{0,1} + [O][S]{0,1}	3.53
[H][O][O][H]{0,1} + [H][O][O][S][O]{0,2} => [H][O][O][H]{0,1} + [H][O][S][O][O]{0,2}	11.38
[H][O][H]{0,1} + [H][O][O]{0,2} + [O][S]{0,3} => [H][O][H]{0,1} + [O][O]{0,1} + [H][S][O]{0,2}	17.55
[H][O]([H])[H]{0,2} + [O][S][O]{0,1} => [H][O][H]{0,1} + [H][O][S][O]{0,2}	4.52
H][O][O][S]([O])[O][O]{0,2} => [H][O][O][S]([O])[O][O]{0,2} + [O]{0,1}	17.26
