old_name	new_name	line2
1.xyz	[H][S][H]{0,1}.xyz	[H][S][H]{0,1}
10.xyz	[H]{0,2}.xyz	[H]{0,2}
100.xyz	[H][O][O]([H])[S]{0,1}.xyz	[H][O][O]([H])[S]{0,1}
101.xyz	[O][S][O][H]{0,2}.xyz	[O][S][O][H]{0,2}
102.xyz	[H][O][S][O][H]{1,2}.xyz	[H][O][S][O][H]{1,2}
103.xyz	[H][S][O]([H])[O]{0,1}.xyz	[H][S][O]([H])[O]{0,1}
104.xyz	[H][O]([O])[S]([O])[O][H]{0,1}.xyz	[H][O]([O])[S]([O])[O][H]{0,1}
105.xyz	[O][O][O][O]{-1,2}.xyz	[O][O][O][O]{-1,2}
106.xyz	[H][O][S][O]{0,2}.xyz	[H][O][S][O]{0,2}
107.xyz	[H][O][O][S][H]{0,1}.xyz	[H][O][O][S][H]{0,1}
108.xyz	[H][O][O][O][O][S][O]{0,2}.xyz	[H][O][O][O][O][S][O]{0,2}
11.xyz	[H][O][O]{0,2}.xyz	[H][O][O]{0,2}
12.xyz	[O]{0,3}.xyz	[O]{0,3}
13.xyz	[H][O][O][O]{0,2}.xyz	[H][O][O][O]{0,2}
14.xyz	[H][O][S][H]{0,1}.xyz	[H][O][S][H]{0,1}
15.xyz	[H][O][S]{0,2}.xyz	[H][O][S]{0,2}
16.xyz	[S]{0,3}.xyz	[S]{0,3}
17.xyz	[H][O][O][O][H]{0,1}.xyz	[H][O][O][O][H]{0,1}
18.xyz	[H][O][O][S][O][H]{0,1}.xyz	[H][O][O][S][O][H]{0,1}
19.xyz	[H][O][O][O][O][H]{0,1}.xyz	[H][O][O][O][O][H]{0,1}
2.xyz	[H][O]{0,2}.xyz	[H][O]{0,2}
20.xyz	[H][S][O][O]{0,2}.xyz	[H][S][O][O]{0,2}
21.xyz	[H][O][O][O][S]{0,2}.xyz	[H][O][O][O][S]{0,2}
22.xyz	[O][S]{0,3}.xyz	[O][S]{0,3}
23.xyz	[H][O]([H])[H]{0,2}.xyz	[H][O]([H])[H]{0,2}
24.xyz	[H][S][O]{0,2}.xyz	[H][S][O]{0,2}
25.xyz	[O][O][S]{0,1}.xyz	[O][O][S]{0,1}
26.xyz	[H][O]([H])[S]{0,1}.xyz	[H][O]([H])[S]{0,1}
27.xyz	[O][O][O]{0,3}.xyz	[O][O][O]{0,3}
28.xyz	[H][O][S][O][O]{0,2}.xyz	[H][O][S][O][O]{0,2}
29.xyz	[O][O][S]{0,3}.xyz	[O][O][S]{0,3}
3.xyz	[O][O]{0,1}.xyz	[O][O]{0,1}
30.xyz	[O][O][S][O]{0,3}.xyz	[O][O][S][O]{0,3}
31.xyz	[O][O][O][O]{0,1}.xyz	[O][O][O][O]{0,1}
32.xyz	[H][O]([H])[H]{1,1}.xyz	[H][O]([H])[H]{1,1}
33.xyz	[O][O]{-1,2}.xyz	[O][O]{-1,2}
34.xyz	[O][S]{-1,2}.xyz	[O][S]{-1,2}
35.xyz	[H][O][O][S][O]{0,2}.xyz	[H][O][O][S][O]{0,2}
36.xyz	[O][O][S][O]{0,1}.xyz	[O][O][S][O]{0,1}
37.xyz	[H][O][O][O][O]{0,2}.xyz	[H][O][O][O][O]{0,2}
38.xyz	[H][O][S]([H])[O][H]{0,2}.xyz	[H][O][S]([H])[O][H]{0,2}
39.xyz	[H][O][O][O][O][O][H]{0,1}.xyz	[H][O][O][O][O][O][H]{0,1}
4.xyz	[H][O][O][H]{0,1}.xyz	[H][O][O][H]{0,1}
40.xyz	[H][O]([H])[O]{0,1}.xyz	[H][O]([H])[O]{0,1}
41.xyz	[H][O][S]([H])[O]{0,1}.xyz	[H][O][S]([H])[O]{0,1}
42.xyz	[H][O][S][O][H]{0,1}.xyz	[H][O][S][O][H]{0,1}
43.xyz	[H][O][O][S][O][O]{0,2}.xyz	[H][O][O][S][O][O]{0,2}
44.xyz	[H][O][O][S]{0,2}.xyz	[H][O][O][S]{0,2}
45.xyz	[O][S][O]{-1,2}.xyz	[O][S][O]{-1,2}
46.xyz	[O][S][O]{0,1}.xyz	[O][S][O]{0,1}
47.xyz	[O][O][S][O]{-1,2}.xyz	[O][O][S][O]{-1,2}
48.xyz	[H][O][O][O][O][S][H]{0,1}.xyz	[H][O][O][O][O][S][H]{0,1}
49.xyz	[H][O][O][O][O][S]{0,2}.xyz	[H][O][O][O][O][S]{0,2}
5.xyz	[H][S]{0,2}.xyz	[H][S]{0,2}
50.xyz	[O]1[O][O][O][O]1{0,1}.xyz	[O]1[O][O][O][O]1{0,1}
51.xyz	[S]{0,1}.xyz	[S]{0,1}
52.xyz	[H][O][S]([O])[O][H]{0,1}.xyz	[H][O][S]([O])[O][H]{0,1}
53.xyz	[H][O][O][O][S][O][O][O][O]{0,2}.xyz	[H][O][O][O][S][O][O][O][O]{0,2}
54.xyz	[O]1[O][O]1{0,1}.xyz	[O]1[O][O]1{0,1}
55.xyz	[H][O][S]([O])[O]{0,2}.xyz	[H][O][S]([O])[O]{0,2}
56.xyz	[O][O][O][S]{0,1}.xyz	[O][O][O][S]{0,1}
57.xyz	[H][S]([O])[O]{0,2}.xyz	[H][S]([O])[O]{0,2}
58.xyz	[H][O][O][O][S][O]{0,2}.xyz	[H][O][O][O][S][O]{0,2}
59.xyz	[H][O][O][O][O][O][O][H]{0,1}.xyz	[H][O][O][O][O][O][O][H]{0,1}
6.xyz	[H][O][H]{0,1}.xyz	[H][O][H]{0,1}
60.xyz	[H][O][O][O][S][H]{0,1}.xyz	[H][O][O][O][S][H]{0,1}
61.xyz	[H][O][O][O][S][O][H]{0,1}.xyz	[H][O][O][O][S][O][H]{0,1}
62.xyz	[O][O][O][S]{-1,2}.xyz	[O][O][O][S]{-1,2}
63.xyz	[H][O][S][O][O][O][O]{0,2}.xyz	[H][O][S][O][O][O][O]{0,2}
64.xyz	[H][O][S][O]{-1,1}.xyz	[H][O][S][O]{-1,1}
65.xyz	[O][O][O][S]([O])[O]{-1,2}.xyz	[O][O][O][S]([O])[O]{-1,2}
66.xyz	[H][O][S][O][O][O]{0,2}.xyz	[H][O][S][O][O][O]{0,2}
67.xyz	[H][O]([O])[S][O][O][H]{0,1}.xyz	[H][O]([O])[S][O][O][H]{0,1}
68.xyz	[H][O][O][S]([O])[O][H]{0,1}.xyz	[H][O][O][S]([O])[O][H]{0,1}
69.xyz	[O][O][O]{-1,2}.xyz	[O][O][O]{-1,2}
7.xyz	[O][O][O]{0,1}.xyz	[O][O][O]{0,1}
70.xyz	[O][S]([O])[O]{-1,2}.xyz	[O][S]([O])[O]{-1,2}
71.xyz	[H][O][O][S]([H])[O]{0,1}.xyz	[H][O][O][S]([H])[O]{0,1}
72.xyz	[H][O][O][S]([O])[O][O]{0,2}.xyz	[H][O][O][S]([O])[O][O]{0,2}
73.xyz	[O][O][S]{-1,2}.xyz	[O][O][S]{-1,2}
74.xyz	[O][O][S]1[O][O]1{-1,2}.xyz	[O][O][S]1[O][O]1{-1,2}
75.xyz	[O][O][S][O][O]{0,1}.xyz	[O][O][S][O][O]{0,1}
76.xyz	[H][O][O][O][O][O][O]{0,2}.xyz	[H][O][O][O][O][O][O]{0,2}
77.xyz	[H][O][O][O]{-1,1}.xyz	[H][O][O][O]{-1,1}
78.xyz	[H][O][O][O][S][O][O]{0,2}.xyz	[H][O][O][O][S][O][O]{0,2}
79.xyz	[O][S][O]{0,3}.xyz	[O][S][O]{0,3}
8.xyz	[O][O]{0,3}.xyz	[O][O]{0,3}
80.xyz	[H][O][O][O][S][O][O][H]{0,1}.xyz	[H][O][O][O][S][O][O][H]{0,1}
81.xyz	[O]1[O][S]1{0,1}.xyz	[O]1[O][S]1{0,1}
82.xyz	[O][O][O][S][O]{0,1}.xyz	[O][O][O][S][O]{0,1}
83.xyz	[O][S]([O])[O]{0,1}.xyz	[O][S]([O])[O]{0,1}
84.xyz	[O][S]([O])[O]{0,3}.xyz	[O][S]([O])[O]{0,3}
85.xyz	[H][O][S]1([H])[O][O]1{0,1}.xyz	[H][O][S]1([H])[O][O]1{0,1}
86.xyz	[O][S]1[O][O]1{0,1}.xyz	[O][S]1[O][O]1{0,1}
87.xyz	[H][O][H]{1,2}.xyz	[H][O][H]{1,2}
88.xyz	[O][O][S][O][O]{0,3}.xyz	[O][O][S][O][O]{0,3}
89.xyz	[H][O][O][S][O][O][H]{0,1}.xyz	[H][O][O][S][O][O][H]{0,1}
9.xyz	[O][S]{0,1}.xyz	[O][S]{0,1}
90.xyz	[H][O]([H][O][O][O][O])[S][O]{0,1}.xyz	[H][O]([H][O][O][O][O])[S][O]{0,1}
91.xyz	[H][O][S]([O])[O]{-1,1}.xyz	[H][O][S]([O])[O]{-1,1}
92.xyz	[H][S]([H])[O]{0,1}.xyz	[H][S]([H])[O]{0,1}
93.xyz	[H][O][O]{-1,1}.xyz	[H][O][O]{-1,1}
94.xyz	[H][O][S]1[O][O]1{0,2}.xyz	[H][O][S]1[O][O]1{0,2}
95.xyz	[O]1[O][S][O]1{0,1}.xyz	[O]1[O][S][O]1{0,1}
96.xyz	[O][O][O][O][S][O]{0,3}.xyz	[O][O][O][O][S][O]{0,3}
97.xyz	[O]1[O][O][S][O]1{0,1}.xyz	[O]1[O][O][S][O]1{0,1}
98.xyz	[H][S]{-1,1}.xyz	[H][S]{-1,1}
99.xyz	[H][O][O][S][O][O]{-1,1}.xyz	[H][O][O][S][O][O]{-1,1}
